error: Apr-07-2023 08:10:24: 	500 - OK - fs is not defined - /authentication/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 08:11:12: 	500 - OK - fs is not defined - /authentication/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 08:14:15: 	500 - OK - ENOENT: no such file or directory, open 'data/user_auth_data.js' - /authentication/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 08:16:47: 	500 - OK - Unexpected token o in JSON at position 1 - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 08:17:12: 	500 - OK - Unexpected token o in JSON at position 1 - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 08:17:41: 	500 - OK - Unexpected token o in JSON at position 1 - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 08:17:56: 	500 - OK - fileData.push is not a function - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 13:58:12: 	500 - OK - Unexpected end of JSON input - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 13:58:39: 	500 - OK - Unexpected end of JSON input - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 13:58:59: 	500 - OK - Unexpected end of JSON input - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 13:59:27: 	500 - OK - Unexpected end of JSON input - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 13:59:45: 	500 - OK - Unexpected end of JSON input - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:00:02: 	500 - OK - Unexpected token o in JSON at position 1 - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:00:35: 	500 - OK - Unexpected token o in JSON at position 1 - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:01:33: 	500 - OK - Unexpected token o in JSON at position 1 - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:01:58: 	500 - OK - bcrypt is not defined - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:02:29: 	500 - OK - bcrypt is not defined - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:12:33: 	500 - OK - Cannot set headers after they are sent to the client - /auth/login - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:12:48: 	500 - OK - Cannot set headers after they are sent to the client - /auth/login - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:13:29: 	500 - OK - Cannot set headers after they are sent to the client - /auth/login - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:27:45: 	500 - undefined - Cannot read properties of undefined (reading 'password') - /auth/login - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:28:29: 	500 - undefined - Cannot read properties of undefined (reading 'password') - /auth/login - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:28:49: 	500 - undefined - Cannot read properties of undefined (reading 'password') - /auth/login - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:29:17: 	500 - undefined - Cannot read properties of undefined (reading 'password') - /auth/login - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:29:37: 	500 - undefined - Cannot read properties of undefined (reading 'password') - /auth/login - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:50:20: 	500 - OK - userData is not defined - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:51:09: 	500 - OK - Cannot set headers after they are sent to the client - /auth/register - GET - ::ffff:127.0.0.1
error: Apr-07-2023 14:51:54: 	500 - OK - Cannot set headers after they are sent to the client - /auth/register - GET - ::ffff:127.0.0.1
